Name,City,State,Total Patients,Mortality %,Complication %,Start Date,End Date
Down East Community Hospital,Machias,Maine,,,,,
Blue Hill Memorial Hospital,Blue Hill,Maine,,,,,
McLaren Northern Michigan,Petoskey,Michigan,100,98,87,July 2011,June 2014
Munson Healthcare Cadillac Hospital,Cadillac,Michigan,,,,,
St. John Macomb-Oakland Hospital,Warren,Michigan,28,96,88,July 2011,June 2014
Bronson Methodist Hospital,Kalamazoo,Michigan,97,98,83,July 2011,June 2014
Oaklawn Hospital,Marshall,Michigan,,,,,
Sheridan Community Hospital,Sheridan,Michigan,,,,,
Hills & Dales General Hospital,Cass City,Michigan,,,,,
Sparrow Clinton Hospital,Saint Johns,Michigan,,,,,
Caro Community Hospital,Caro,Michigan,,,,,
Dickinson County Healthcare System,Iron Mountain,Michigan,,,,,
Beaumont Hospital Grosse Pointe,Grosse Pointe,Michigan,,,,,
McLaren Oakland,Pontiac,Michigan,,,,,
Karmanos Cancer Center,Detroit,Michigan,,,,,
McLaren Bay Region,Bay City,Michigan,79,97,86,July 2011,June 2014
DMC Huron Valley-Sinai Hospital,Commerce Township,Michigan,,,,,
Mercy Health Saint Mary's,Grand Rapids,Michigan,,,,,
St. Joseph Mercy Oakland,Pontiac,Michigan,,,,,
St. Mary Mercy Hospital,Livonia,Michigan,,,,,
UP Health System-Portage,Hancock,Michigan,,,,,
DMC - Sinai-Grace Hospital,Detroit,Michigan,14,97,88,July 2011,June 2014
Spectrum Health - Butterworth Hospital,Grand Rapids,Michigan,383,98,88,July 2011,June 2014
Henry Ford Macomb Hospitals,Clinton Township,Michigan,35,98,86,July 2011,June 2014
Henry Ford Wyandotte Hospital,Wyandotte,Michigan,,,,,
Spectrum Health Pennock,Hastings,Michigan,,,,,
McLaren Port Huron,Port Huron,Michigan,27,98,85,July 2011,June 2014
Harbor Beach Community Hospital,Harbor Beach,Michigan,,,,,
Southeast Michigan Surgical Hospital,Warren,Michigan,,,,,
MidMichigan Medical Center-Clare,Clare,Michigan,,,,,
North Ottawa Community Hospital,Grand Haven,Michigan,,,,,
Bronson Battle Creek,Battle Creek,Michigan,,,,,
Borgess Medical Center,Kalamazoo,Michigan,110,97,91,July 2011,June 2014
Garden City Hospital,Garden City,Michigan,,,,,
UP Health System-Marquette,Marquette,Michigan,99,98,88,July 2011,June 2014
Henry Ford Hospital,Detroit,Michigan,95,98,84,July 2011,June 2014
Hurley Medical Center,Flint,Michigan,,,,,
McLaren Macomb,Mount Clemens,Michigan,16,96,88,July 2011,June 2014
St. John Hospital and Medical Center,Detroit,Michigan,73,98,87,July 2011,June 2014
"Mercy Health, Lakeshore Campus",Shelby,Michigan,,,,,
"Providence - Providence Park Hospital, Southfield Campus",Southfield,Michigan,83,96,85,July 2011,June 2014
Spectrum Health Ludington Hospital,Ludington,Michigan,,,,,
MidMichigan Medical Center-Gladwin,Gladwin,Michigan,,,,,
"Lakeland Medical Center, St. Joseph",Saint Joseph,Michigan,27,98,82,July 2011,June 2014
Beaumont Hospital - Farmington Hills,Farmington Hills,Michigan,,,,,
"Lakeland Hospital, Watervliet",Watervliet,Michigan,,,,,
Mercy Health Hackley Campus,Muskegon,Michigan,,,,,
Aspirus Grand View,Ironwood,Michigan,,,,,
Munson Medical Center,Traverse City,Michigan,214,98,84,July 2011,June 2014
Beaumont Hospital-Dearborn,Dearborn,Michigan,,,,,
Baraga County Memorial Hospital,L'Anse,Michigan,,,,,
McLaren Lapeer Region,Lapeer,Michigan,,,,,
St. Joseph Health System,Tawas City,Michigan,,,,,
Spectrum Health Big Rapids Hospital,Big Rapids,Michigan,,,,,
Hayes Green Beach Memorial Hospital,Charlotte,Michigan,,,,,
Sparrow Hospital,Lansing,Michigan,,,,,
Helen Newberry Joy Hospital,Newberry,Michigan,,,,,
Deckerville Community Hospital,Deckerville,Michigan,,,,,
McKenzie Health System,Sandusky,Michigan,,,,,
Covenant Healthcare,Saginaw,Michigan,57,98,87,July 2011,June 2014
Forest Health Medical Center,Ypsilanti,Michigan,,,,,
St. Joseph Mercy Livingston Hospital,Howell,Michigan,,,,,
"Mackinac Straits Health System, Inc.",Saint Ignace,Michigan,,,,,
Bronson LakeView Hospital,Paw Paw,Michigan,,,,,
St. Mary's of Michigan Standish Hospital,Standish,Michigan,,,,,
DMC - Detroit Receiving Hospital,Detroit,Michigan,,,,,
West Branch Regional Medical Center,West Branch,Michigan,,,,,
Spectrum Health United Hospital,Greenville,Michigan,,,,,
Beaumont Hospital - Wayne,Wayne,Michigan,,,,,
Three Rivers Health,Three Rivers,Michigan,,,,,
Marlette Regional Hospital,Marlette,Michigan,,,,,
Munson Healthcare Grayling Hospital,Grayling,Michigan,,,,,
Aspirus Ontonagon Hospital,Ontonagon,Michigan,,,,,
ProMedica Herrick Hospital,Tecumseh,Michigan,,,,,
Hillsdale Community Health Center,Hillsdale,Michigan,,,,,
Otsego Memorial Hospital,Gaylord,Michigan,,,,,
ProMedica Monroe Regional Hospital,Monroe,Michigan,,,,,
McLaren Flint,Flint,Michigan,34,98,89,July 2011,June 2014
Alpena Regional Medical Center,Alpena,Michigan,,,,,
Brighton Center for Recovery,Brighton,Michigan,,,,,
Doctors' Hospital of Michigan,Pontiac,Michigan,,,,,
Paul Oliver Memorial Hospital,Frankfort,Michigan,,,,,
Genesys Regional Medical Center,Grand Blanc,Michigan,66,97,88,July 2011,June 2014
"Mercy Health, Mercy Campus",Muskegon,Michigan,,,,,
Scheurer Hospital,Pigeon,Michigan,,,,,
St. Joseph Mercy Ann Arbor,Ypsilanti,Michigan,175,98,89,July 2011,June 2014
Spectrum Health Reed City Hospital,Reed City,Michigan,,,,,
Eaton Rapids Medical Center,Eaton Rapids,Michigan,,,,,
Beaumont Hospital - Royal Oak,Royal Oak,Michigan,,,,,
Sturgis Hospital,Sturgis,Michigan,,,,,
Allegan General Hospital,Allegan,Michigan,,,,,
St. Joseph Mercy Port Huron,Port Huron,Michigan,,,,,
MidMichigan Medical Center-Midland,Midland,Michigan,108,97,87,July 2011,June 2014
St. Joseph Mercy Chelsea,Chelsea,Michigan,,,,,
Allegiance Health,Jackson,Michigan,42,97,86,July 2011,June 2014
Henry Ford West Bloomfield Hospital,West Bloomfield,Michigan,,,,,
Schoolcraft Memorial Hospital,Manistique,Michigan,,,,,
Aspirus Keweenaw Hospital,Laurium,Michigan,,,,,
Community Health Center of Branch County,Coldwater,Michigan,,,,,
Beaumont Hospital - Taylor,Taylor,Michigan,,,,,
Sparrow Ionia Hospital,Ionia,Michigan,,,,,
War Memorial Hospital,Sault Sainte Marie,Michigan,,,,,
Holland Hospital,Holland,Michigan,,,,,
Huron Medical Center,Bad Axe,Michigan,,,,,
Charlevoix Area Hospital,Charlevoix,Michigan,,,,,
Borgess-Lee Memorial Hospital,Dowagiac,Michigan,,,,,
MidMichigan Medical Center-Gratiot,Alma,Michigan,,,,,
McLaren Central Michigan,Mount Pleasant,Michigan,,,,,
Oakland Regional Hospital,Southfield,Michigan,,,,,
Aspirus Iron River Hospitals and Clinics,Iron River,Michigan,,,,,
OSF St. Francis Hospital and Medical Group,Escanaba,Michigan,,,,,
ProMedica Bixby Hospital,Adrian,Michigan,,,,,
Munising Memorial Hospital,Munising,Michigan,,,,,
McLaren Greater Lansing,Lansing,Michigan,42,97,84,July 2011,June 2014
Beaumont Hospital - Trenton,Trenton,Michigan,,,,,
Crittenton Hospital Medical Center,Rochester,Michigan,25,98,84,July 2011,June 2014
Straith Hospital for Special Surgery,Southfield,Michigan,,,,,
St. Mary's of Michigan,Saginaw,Michigan,41,97,81,July 2011,June 2014
South Haven Health System,South Haven,Michigan,,,,,
Memorial Healthcare,Owosso,Michigan,,,,,
Sparrow Carson Hospital,Carson City,Michigan,,,,,
UP Health System-Bell,Ishpeming,Michigan,,,,,
University of Michigan Hospitals and Health Centers,Ann Arbor,Michigan,345,98,89,July 2011,June 2014
Spectrum Health Zeeland Community Hospital,Zeeland,Michigan,,,,,
"HealthSource Saginaw, Inc.",Saginaw,Michigan,,,,,
DMC Harper University Hospital,Detroit,Michigan,,,,,
Metro Health Hospital,Wyoming,Michigan,,,,,
Kalkaska Memorial Health Center,Kalkaska,Michigan,,,,,
Beaumont Hospital - Troy,Troy,Michigan,,,,,
St. John River District Hospital,East China,Michigan,,,,,
West Feliciana Parish Hospital,Saint Francisville,Louisiana,,,,,
Assumption Community Hospital,Napoleonville,Louisiana,,,,,
Teche Regional Medical Center,Morgan City,Louisiana,,,,,
Lafayette Surgical Specialty Hospital,Lafayette,Louisiana,,,,,
East Carroll Parish Hospital,Lake Providence,Louisiana,,,,,
West Jefferson Medical Center,Marrero,Louisiana,,,,,
Glenwood Regional Medical Center,West Monroe,Louisiana,36,98,87,July 2011,June 2014
Byrd Regional Hospital,Leesville,Louisiana,,,,,
Ochsner Medical Center-Baton Rouge,Baton Rouge,Louisiana,26,97,87,July 2011,June 2014
Riverland Medical Center,Ferriday,Louisiana,,,,,
Regional Medical Center of Acadiana,Lafayette,Louisiana,,,,,
De Soto Regional Health System,Mansfield,Louisiana,,,,,
Abrom Kaplan Memorial Hospital,Kaplan,Louisiana,,,,,
Central Louisiana Surgical Hospital,Alexandria,Louisiana,,,,,
Lafayette General Surgical Hospital,Lafayette,Louisiana,,,,,
Southern Surgical Hospital,Slidell,Louisiana,,,,,
West Carroll Memorial Hospital,Oak Grove,Louisiana,,,,,
Northern Louisiana Medical Center,Ruston,Louisiana,,,,,
Avoyelles Hospital,Marksville,Louisiana,,,,,
Heart Hospital of Lafayette,Lafayette,Louisiana,,,,,
Lady of the Sea General Hospital,Cut Off,Louisiana,,,,,
Louisiana Heart Hospital,Lacombe,Louisiana,,,,,
North Caddo Medical Center,Vivian,Louisiana,,,,,
Ouachita Community Hospital,West Monroe,Louisiana,,,,,
Ochsner Medical Center,New Orleans,Louisiana,,,,,
Dauterive Hospital,New Iberia,Louisiana,,,,,
Lallie Kemp Medical Center,Independence,Louisiana,,,,,
Riverside Medical Center,Franklinton,Louisiana,,,,,
Park Place Surgical Hospital,Lafayette,Louisiana,,,,,
Jackson Parish Hospital,Jonesboro,Louisiana,,,,,
Reeves Memorial Medical Center,Bernice,Louisiana,,,,,
Willis-Knighton Medical Center,Shreveport,Louisiana,,,,,
Richland Parish Hospital,Delhi,Louisiana,,,,,
P & S Surgical Hospital,Monroe,Louisiana,,,,,
Natchitoches Regional Medical Center,Natchitoches,Louisiana,,,,,
Acadia General Hospital,Crowley,Louisiana,,,,,
Tulane Medical Center,New Orleans,Louisiana,,,,,
Fairway Medical Center,Covington,Louisiana,,,,,
Franklin Medical Center,Winnsboro,Louisiana,,,,,
St. Martin Hospital,Breaux Bridge,Louisiana,,,,,
Our Lady of the Angels Hospital,Bogalusa,Louisiana,,,,,
Terrebonne General Medical Center,Houma,Louisiana,,,,,
Our Lady of Lourdes Regional Medical Center,Lafayette,Louisiana,,,,,
Doctor's Hospital of Deer Creek,Leesville,Louisiana,,,,,
Monroe Surgical Hospital,Monroe,Louisiana,,,,,
Sabine Medical Center,Many,Louisiana,,,,,
Our Lady of the Lake Regional Medical Center,Baton Rouge,Louisiana,,,,,
Ochsner St. Anne General Hospital,Raceland,Louisiana,,,,,
East Jefferson General Hospital,Metairie,Louisiana,,,,,
Sterling Surgical Hospital,Slidell,Louisiana,,,,,
Pointe Coupee General Hospital,New Roads,Louisiana,,,,,
Lafayette General Medical Center,Lafayette,Louisiana,,,,,
Specialists Hospital - Shreveport,Shreveport,Louisiana,,,,,
Minden Medical Center,Minden,Louisiana,,,,,
Ochsner Medical Center - Kenner,Kenner,Louisiana,,,,,
Union General Hospital,Farmerville,Louisiana,,,,,
Leonard J. Chabert Medical Center,Houma,Louisiana,,,,,
West Calcasieu Cameron Hospital,Sulphur,Louisiana,,,,,
CHRISTUS Coushatta Health Care Center,Coushatta,Louisiana,,,,,
Franklin Foundation Hospital,Franklin,Louisiana,,,,,
Surgical Specialty Center of Baton Rouge,Baton Rouge,Louisiana,,,,,
Claiborne Memorial Medical Center,Homer,Louisiana,,,,,
Bienville Medical Center,Arcadia,Louisiana,,,,,
Lakeview Regional Medical Center,Covington,Louisiana,,,,,
North Oaks Medical Center,Hammond,Louisiana,,,,,
St. Francis Medical Center,Monroe,Louisiana,,,,,
Lake Charles Memorial Hospital,Lake Charles,Louisiana,,,,,
St. James Parish Hospital,Lutcher,Louisiana,,,,,
Lake Area Medical Center,Lake Charles,Louisiana,,,,,
Hardtner Medical Center,Olla,Louisiana,,,,,
St. Tammany Parish Hospital,Covington,Louisiana,,,,,
Richardson Medical Center,Rayville,Louisiana,,,,,
Winn Parish Medical Center,Winnfield,Louisiana,,,,,
Springhill Medical Center,Springhill,Louisiana,,,,,
Acadia-St. Landry Hospital,Church Point,Louisiana,,,,,
CHRISTUS St. Patrick Hospital of Lake Charles,Lake Charles,Louisiana,34,98,83,July 2011,June 2014
Interim LSU Public Hospital,New Orleans,Louisiana,,,,,
Mercy Regional Medical Center,Ville Platte,Louisiana,,,,,
LaSalle General Hospital,Jena,Louisiana,,,,,
Baton Rouge General Medical Center,Baton Rouge,Louisiana,,,,,
Morehouse General Hospital,Bastrop,Louisiana,,,,,
St. Helena Parish Hospital,Greensburg,Louisiana,,,,,
Rapides Regional Medical Center,Alexandria,Louisiana,,,,,
Opelousas General Health System,Opelousas,Louisiana,,,,,
Oakdale Community Hospital,Oakdale,Louisiana,,,,,
Savoy Medical Center,Mamou,Louisiana,,,,,
University Health Conway,Monroe,Louisiana,,,,,
Hood Memorial Hospital,Amite,Louisiana,,,,,
Spine Hospital of Louisiana (formally the NeuroMedical Center Surgical Hospital),Baton Rouge,Louisiana,,,,,
CHRISTUS St. Frances Cabrini Hospital,Alexandria,Louisiana,,,,,
Thibodaux Regional Medical Center,Thibodaux,Louisiana,,,,,
Lane Regional Medical Center,Zachary,Louisiana,,,,,
Jennings American Legion Hospital,Jennings,Louisiana,,,,,
Slidell Memorial Hospital,Slidell,Louisiana,,,,,
Caldwell Memorial Hospital,Columbia,Louisiana,,,,,
Ochsner Medical Center - North Shore,Slidell,Louisiana,,,,,
St. Charles Parish Hospital,Luling,Louisiana,,,,,
Beauregard Memorial Hospital,De Ridder,Louisiana,,,,,
Abbeville General Hospital,Abbeville,Louisiana,,,,,
Woman's Hospital,Baton Rouge,Louisiana,,,,,
Touro Infirmary,New Orleans,Louisiana,,,,,
WK Bossier Health Center,Bossier City,Louisiana,,,,,
Iberia Rehabilitation Hospital,New Iberia,Louisiana,,,,,
Iberia Medical Center,New Iberia,Louisiana,,,,,
University Health Shreveport,Shreveport,Louisiana,,,,,
Physicians Medical Center,Houma,Louisiana,,,,,
Citizens Medical Center,Columbia,Louisiana,,,,,
St. Elizabeth Hospital,Gonzales,Louisiana,,,,,
Allen Parish Hospital,Kinder,Louisiana,,,,,
St. Bernard Parish Hospital,Chalmette,Louisiana,,,,,
University Hospital and Clinics,Lafayette,Louisiana,,,,,
CHRISTUS Health Shreveport-Bossier,Shreveport,Louisiana,,,,,
Saint Joseph Regional Medical Center-Plymouth Campus,Plymouth,Indiana,,,,,
Franciscan St. Francis Health-Carmel,Carmel,Indiana,,,,,
Parkview LaGrange Hospital,LaGrange,Indiana,,,,,
St. Joseph Hospital & Health Center,Kokomo,Indiana,,,,,
Bluffton Regional Medical Center,Bluffton,Indiana,,,,,
St. Vincent Mercy Hospital,Elwood,Indiana,,,,,
Indiana University Health La Porte Hospital,La Porte,Indiana,20,98,86,July 2011,June 2014
Kosciusko Community Hospital,Warsaw,Indiana,,,,,
The Women's Hospital,Newburgh,Indiana,,,,,
Franciscan Healthcare - Munster,Munster,Indiana,,,,,
St. Mary's Medical Center of Evansville,Evansville,Indiana,,,,,
Community Howard Regional Health,Kokomo,Indiana,,,,,
Indiana University Health Goshen Hospital,Goshen,Indiana,,,,,
Major Hospital,Shelbyville,Indiana,,,,,
St. Vincent Carmel Hospital,Carmel,Indiana,,,,,
Indiana University Health Paoli Hospital,Paoli,Indiana,,,,,
Indiana University Health Tipton Hospital,Tipton,Indiana,,,,,
Unity Medical & Surgical Hospital,Mishawaka,Indiana,,,,,
St. Joseph Hospital,Fort Wayne,Indiana,,,,,
Franciscan St. Elizabeth Health - Lafayette East,Lafayette,Indiana,14,97,85,July 2011,June 2014
Parkview Whitley Hospital,Columbia City,Indiana,,,,,
St. Vincent Salem Hospital,Salem,Indiana,,,,,
Reid Health,Richmond,Indiana,,,,,
King's Daughters' Health,Madison,Indiana,,,,,
Community Hospital of Anderson and Madison County,Anderson,Indiana,,,,,
Franciscan St. Francis Health - Indianapolis,Indianapolis,Indiana,,,,,
Marion General Hospital,Marion,Indiana,,,,,
Henry County Hospital,New Castle,Indiana,,,,,
St. Vincent Anderson Regional Hospital,Anderson,Indiana,,,,,
The Heart Hospital at Deaconess Gateway,Newburgh,Indiana,,,,,
Indiana University Health University Hospital,Indianapolis,Indiana,155,98,88,July 2011,June 2014
Logansport Memorial Hospital,Logansport,Indiana,,,,,
Indiana University Health Starke Hospital,Knox,Indiana,,,,,
Indiana University Health Blackford Hospital,Hartford City,Indiana,,,,,
Witham Memorial Hospital,Lebanon,Indiana,,,,,
Indiana University Health Morgan Hospital,Martinsville,Indiana,,,,,
St. Vincent Randolph Hospital,Winchester,Indiana,,,,,
Clark Memorial Hospital,Jeffersonville,Indiana,,,,,
Good Samaritan Hospital,Vincennes,Indiana,,,,,
Parkview Regional Medical Center,Fort Wayne,Indiana,158,97,86,July 2011,June 2014
Jay County Hospital,Portland,Indiana,,,,,
Scott Memorial Hospital,Scottsburg,Indiana,,,,,
Memorial Hospital and Health Care Center,Jasper,Indiana,,,,,
Parkview Huntington Hospital,Huntington,Indiana,,,,,
St. Vincent Indianapolis Hospital,Indianapolis,Indiana,99,98,86,July 2011,June 2014
Hendricks Regional Health,Danville,Indiana,,,,,
DeKalb Health,Auburn,Indiana,,,,,
Parkview Noble Hospital,Kendallville,Indiana,,,,,
St. Vincent Fishers Hospital,Fishers,Indiana,,,,,
Deaconess Hospital,Evansville,Indiana,,,,,
Indiana University Health Bloomington Hospital,Bloomington,Indiana,36,98,87,July 2011,June 2014
Franciscan St. Anthony Health - Michigan City,Michigan City,Indiana,16,98,87,July 2011,June 2014
Memorial Hospital of South Bend,South Bend,Indiana,,,,,
St. Vincent Dunn Hospital,Bedford,Indiana,,,,,
Dukes Memorial Hospital,Peru,Indiana,,,,,
Franciscan St. Anthony Health - Crown Point,Crown Point,Indiana,19,98,86,July 2011,June 2014
Sullivan County Community Hospital,Sullivan,Indiana,,,,,
Parkview Wabash County Hospital,Wabash,Indiana,,,,,
St. Vincent Heart Center,Indianapolis,Indiana,183,98,90,July 2011,June 2014
Parkview  Ortho Hospital,Fort Wayne,Indiana,,,,,
St. Mary Medical Center,Hobart,Indiana,,,,,
Franciscan Health Rensselear,Rensselaer,Indiana,,,,,
Kentuckiana Medical Center,Clarksville,Indiana,,,,,
Perry County Memorial Hospital,Tell City,Indiana,,,,,
Greene County General Hospital,Linton,Indiana,,,,,
Eskenazi Health,Indianapolis,Indiana,,,,,
Decatur County Memorial Hospital,Greensburg,Indiana,,,,,
Pinnacle Hospital,Crown Point,Indiana,,,,,
Monroe Hospital,Bloomington,Indiana,,,,,
Cameron Memorial Community Hospital,Angola,Indiana,,,,,
Union Hospital,Terre Haute,Indiana,,,,,
Physicians' Medical Center,New Albany,Indiana,,,,,
Indiana University Health Bedford Hospital,Bedford,Indiana,,,,,
Community Hospital North,Indianapolis,Indiana,,,,,
Daviess Community Hospital,Washington,Indiana,,,,,
St. Vincent Williamsport Hospital,Williamsport,Indiana,,,,,
Fayette Regional Health System,Connersville,Indiana,,,,,
St. Vincent Jennings Hospital,North Vernon,Indiana,,,,,
Putnam County Hospital,Greencastle,Indiana,,,,,
Indiana University Health Arnett Hospital,Lafayette,Indiana,,,,,
St. Vincent Clay Hospital,Brazil,Indiana,,,,,
Franciscan St. Francis Health - Mooresville,Mooresville,Indiana,,,,,
Community Hospital South,Indianapolis,Indiana,,,,,
Union Hospital Clinton,Clinton,Indiana,,,,,
Elkhart General Healthcare System,Elkhart,Indiana,70,97,85,July 2011,June 2014
Harrison County Hospital,Corydon,Indiana,,,,,
Community Hospital of Bremen,Bremen,Indiana,,,,,
St. Mary's  Warrick Hospital,Boonville,Indiana,,,,,
Saint Joseph Regional Medical Center,Mishawaka,Indiana,,,,,
Dupont Hospital,Fort Wayne,Indiana,,,,,
Orthopaedic Hospital of Lutheran Health Network,Fort Wayne,Indiana,,,,,
Schneck Medical Center,Seymour,Indiana,,,,,
Gibson General Hospital,Princeton,Indiana,,,,,
Pulaski Memorial Hospital,Winamac,Indiana,,,,,
Hancock Regional Hospital,Greenfield,Indiana,,,,,
Terre Haute Regional Hospital,Terre Haute,Indiana,,,,,
Indiana University Health Ball Memorial Hospital,Muncie,Indiana,,,,,
Franciscan St. Margaret Health - Hammond,Hammond,Indiana,,,,,
Rush Memorial Hospital,Rushville,Indiana,,,,,
St. Vincent Frankfort Hospital,Frankfort,Indiana,,,,,
Indiana University Health North Hospital,Carmel,Indiana,,,,,
Porter Regional Hospital,Valparaiso,Indiana,,,,,
Franciscan St. Elizabeth Health - Crawfordsville,Crawfordsville,Indiana,,,,,
Indiana University Health West Hospital,Avon,Indiana,,,,,
Woodlawn Hospital,Rochester,Indiana,,,,,
Adams Memorial Hospital,Decatur,Indiana,,,,,
Indiana Orthopaedic Hospital,Indianapolis,Indiana,,,,,
Indiana University Health White Memorial Hospital,Monticello,Indiana,,,,,
Methodist Hospitals,Gary,Indiana,,,,,
Margaret Mary Health,Batesville,Indiana,,,,,
Community Hospital,Munster,Indiana,,,,,
Johnson Memorial Hospital,Franklin,Indiana,,,,,
Floyd Memorial Hospital and Health Services,New Albany,Indiana,,,,,
Fairbanks,Indianapolis,Indiana,,,,,
Dearborn County Hospital,Lawrenceburg,Indiana,,,,,
St. Catherine Hospital,East Chicago,Indiana,,,,,
Community Hospital East,Indianapolis,Indiana,,,,,
Columbus Regional Hospital,Columbus,Indiana,,,,,
Lutheran Hospital of Indiana,Fort Wayne,Indiana,84,98,82,July 2011,June 2014
Riverview Hospital,Noblesville,Indiana,,,,,
Mayo Clinic Jacksonville,Jacksonville,Florida,,,,,
Jackson Health System,Miami,Florida,,,,,
Memorial Regional Hospital,Hollywood,Florida,99,98,91,July 2011,June 2014
Lake Wales Medical Center,Lake Wales,Florida,,,,,
Doctor's Memorial Hospital,Perry,Florida,,,,,
Lakewood Ranch Medical Center,Bradenton,Florida,,,,,
Broward Health Imperial Point,Fort Lauderdale,Florida,,,,,
Holy Cross Hospital,Fort Lauderdale,Florida,106,97,87,July 2011,June 2014
Memorial Hospital Jacksonville,Jacksonville,Florida,,,,,
Santa Rosa Medical Center,Milton,Florida,,,,,
Florida Hospital Zephyrhills,Zephyrhills,Florida,,,,,
Calhoun-Liberty Hospital,Blountstown,Florida,,,,,
Coral Gables Hospital,Coral Gables,Florida,,,,,
Sacred Heart Hospital on the Gulf,Port St Joe,Florida,,,,,
Gulf Coast Regional Medical Center,Panama City,Florida,,,,,
Heart of Florida Regional Medical Center,Davenport,Florida,,,,,
Halifax Health Medical Center of Daytona Beach,Daytona Beach,Florida,,,,,
Memorial Hospital of Tampa,Tampa,Florida,,,,,
Doctors Memorial Hospital,Bonifay,Florida,,,,,
Manatee Memorial Hospital,Bradenton,Florida,73,98,83,July 2011,June 2014
North Okaloosa Medical Center,Crestview,Florida,,,,,
Morton Plant Hospital,Clearwater,Florida,231,97,80,July 2011,June 2014
Largo Medical Center,Largo,Florida,,,,,
